#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/pb),recorded(/pb)
276437:5076,07/06/16 02:58:47,2125,HLT_IsoMu24_v2,369.862335650,355.687546620
276454:5076,07/06/16 18:08:15,527,HLT_IsoMu24_v2,65.825219932,63.924279409
276458:5076,07/07/16 02:00:22,341,HLT_IsoMu24_v2,33.947904143,33.169134087
276495:5078,07/07/16 11:20:57,182,HLT_IsoMu24_v2,39.880755644,38.062164066
276501:5078,07/07/16 12:47:40,2543,HLT_IsoMu24_v2,416.642439527,401.533292637
276502:5078,07/08/16 05:21:18,740,HLT_IsoMu24_v2,88.004237442,85.357449333
276525:5080,07/08/16 14:15:18,2786,HLT_IsoMu24_v2,416.606161340,402.663396468
276527:5080,07/09/16 08:34:41,214,HLT_IsoMu24_v2,23.128706996,22.408004818
276528:5080,07/09/16 10:01:49,391,HLT_IsoMu24_v2,39.368912977,38.349578306
276542:5083,07/09/16 16:32:22,784,HLT_IsoMu24_v2,156.047834202,148.442843148
276543:5083,07/09/16 21:39:40,948,HLT_IsoMu24_v2,153.680396569,148.143518872
276544:5083,07/10/16 03:53:47,160,HLT_IsoMu24_v2,22.897844907,21.993585092
276545:5083,07/10/16 04:59:24,206,HLT_IsoMu24_v2,27.567442688,26.624371012
276581:5085,07/10/16 12:24:16,366,HLT_IsoMu24_v2,77.140937433,74.062946538
276582:5085,07/10/16 14:52:52,871,HLT_IsoMu24_v2,155.304172029,150.007109117
276583:5085,07/10/16 20:34:28,52,HLT_IsoMu24_v2,8.259542148,7.839875549
276584:5085,07/10/16 20:59:17,2,HLT_IsoMu24_v2,0.316019743,0.172727362
276585:5085,07/10/16 21:31:21,242,HLT_IsoMu24_v2,36.414536185,34.895920918
276586:5085,07/10/16 23:10:31,751,HLT_IsoMu24_v2,100.186864927,96.896976507
276587:5085,07/11/16 04:23:51,1006,HLT_IsoMu24_v2,111.612892439,107.617825336
276653:5091,07/12/16 00:13:18,479,HLT_IsoMu24_v2,89.363901243,86.119512846
276655:5091,07/12/16 03:27:37,1105,HLT_IsoMu24_v2,171.220404790,160.842800472
276659:5091,07/12/16 10:40:23,251,HLT_IsoMu24_v2,32.716845077,29.938738532
276775:5093,07/12/16 21:26:20,1165,HLT_IsoMu24_v2,218.523082692,207.359208622
276776:5093,07/13/16 05:02:29,1823,HLT_IsoMu24_v2,244.651860670,236.342423452
276794:5093,07/13/16 17:05:19,885,HLT_IsoMu24_v2,89.485543378,87.205680821
276807:5095,07/14/16 03:24:10,155,HLT_IsoMu24_v2,32.275189671,30.442600532
276808:5095,07/14/16 04:28:59,875,HLT_IsoMu24_v2,164.172640099,157.858192010
276810:5095,07/14/16 10:15:44,287,HLT_IsoMu24_v2,46.702982157,44.735085823
276811:5095,07/14/16 12:15:34,2562,HLT_IsoMu24_v2,311.313073368,301.674117304
276831:5096,07/15/16 07:47:46,2634,HLT_IsoMu24_v2,416.151495486,400.297676299
276834:5096,07/16/16 01:42:10,720,HLT_IsoMu24_v2,75.595468573,72.599762912
276870:5097,07/16/16 11:02:01,3403,HLT_IsoMu24_v2,546.600002191,526.586518270
276935:5101,07/17/16 23:39:55,824,HLT_IsoMu24_v2,179.472817382,169.997851576
276940:5102,07/18/16 08:13:36,144,HLT_IsoMu24_v2,33.938050694,28.700846840
276946:5102,07/18/16 09:56:36,27,HLT_IsoMu24_v2,6.168303254,4.252741743
276947:5102,07/18/16 10:11:19,132,HLT_IsoMu24_v2,29.311503607,24.605931488
276948:5102,07/18/16 11:09:47,474,HLT_IsoMu24_v2,95.546723295,85.951571648
276950:5102,07/18/16 14:16:45,2353,HLT_IsoMu24_v2,337.524553910,323.178752535
277069:5105,07/19/16 17:52:15,309,HLT_IsoMu24_v2,79.058743034,75.526287052
277070:5105,07/19/16 19:54:11,1058,HLT_IsoMu24_v2,217.533701692,206.495004545
277071:5105,07/20/16 02:48:37,171,HLT_IsoMu24_v2,29.280449084,26.353950733
277072:5105,07/20/16 04:01:41,464,HLT_IsoMu24_v2,71.672499055,69.171540102
277073:5105,07/20/16 07:09:53,90,HLT_IsoMu24_v2,13.151244726,12.749016636
277076:5105,07/20/16 07:55:58,1033,HLT_IsoMu24_v2,130.960633072,125.929436641
277087:5105,07/20/16 17:49:22,988,HLT_IsoMu24_v2,89.426735379,86.356665370
