#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/pb),recorded(/pb)
275834:5045,06/26/16 21:26:02,297,HLT_ZeroBias_v3,0.000023965,0.000023063
275835:5045,06/26/16 23:24:23,13,HLT_ZeroBias_v3,0.000001008,0.000000919
275836:5045,06/26/16 23:32:00,1277,HLT_ZeroBias_v3,0.000085941,0.000082019
275837:5045,06/27/16 07:59:11,715,HLT_ZeroBias_v3,0.000038243,0.000037090
275847:5045,06/27/16 13:59:22,2263,HLT_ZeroBias_v3,0.000090595,0.000088433
275886:5048,06/28/16 08:40:35,37,HLT_ZeroBias_v3,0.000003576,0.000003367
275890:5048,06/28/16 09:27:45,1393,HLT_ZeroBias_v3,0.000108776,0.000104452
275911:5052,06/29/16 01:49:35,377,HLT_ZeroBias_v3,0.000033941,0.000032501
275912:5052,06/29/16 04:21:23,289,HLT_ZeroBias_v3,0.000023979,0.000023053
275913:5052,06/29/16 06:19:55,475,HLT_ZeroBias_v3,0.000035807,0.000034030
275918:5052,06/29/16 09:29:20,332,HLT_ZeroBias_v3,0.000022860,0.000022074
275920:5052,06/29/16 11:56:25,459,HLT_ZeroBias_v3,0.000028353,0.000027227
275921:5052,06/29/16 14:59:30,8,HLT_ZeroBias_v3,0.000000476,0.000000446
275923:5052,06/29/16 15:17:42,114,HLT_ZeroBias_v3,0.000006638,0.000006445
275931:5052,06/29/16 16:34:22,85,HLT_ZeroBias_v3,0.000004766,0.000004631
275963:5056,06/30/16 01:02:54,90,HLT_ZeroBias_v3,0.000009165,0.000008683
276092:5060,07/01/16 02:14:32,76,HLT_ZeroBias_v3,0.000007008,0.000006558
276097:5060,07/01/16 03:07:31,507,HLT_ZeroBias_v3,0.000045999,0.000044142
276242:5069,07/02/16 14:05:34,1644,HLT_ZeroBias_v3,0.000125394,0.000119358
276243:5069,07/03/16 00:56:20,608,HLT_ZeroBias_v3,0.000036675,0.000034589
276244:5069,07/03/16 05:04:17,1200,HLT_ZeroBias_v3,0.000061070,0.000058892
276282:5071,07/03/16 18:15:01,1066,HLT_ZeroBias_v4,0.000095184,0.000091309
276283:5071,07/04/16 01:14:13,1085,HLT_ZeroBias_v4,0.000077108,0.000074163
276315:5072,07/04/16 11:19:05,176,HLT_ZeroBias_v4,0.000015963,0.000015121
276317:5072,07/04/16 12:33:38,136,HLT_ZeroBias_v4,0.000012120,0.000011686
276318:5072,07/04/16 13:30:33,566,HLT_ZeroBias_v4,0.000045054,0.000043513
276355:5073,07/04/16 21:39:48,33,HLT_ZeroBias_v4,0.000002874,0.000002755
276361:5073,07/04/16 22:36:15,824,HLT_ZeroBias_v4,0.000069003,0.000066371
276363:5073,07/05/16 04:07:36,1478,HLT_ZeroBias_v4,0.000095889,0.000091700
276384:5073,07/05/16 13:47:06,1116,HLT_ZeroBias_v4,0.000055602,0.000054015
276437:5076,07/06/16 02:58:47,2125,HLT_ZeroBias_v4,0.000164260,0.000157965
276454:5076,07/06/16 18:08:15,527,HLT_ZeroBias_v4,0.000029259,0.000028414
276458:5076,07/07/16 02:00:22,341,HLT_ZeroBias_v4,0.000015090,0.000014744
276495:5078,07/07/16 11:20:57,182,HLT_ZeroBias_v4,0.000017709,0.000016902
276501:5078,07/07/16 12:47:40,2543,HLT_ZeroBias_v4,0.000185056,0.000178345
276502:5078,07/08/16 05:21:18,740,HLT_ZeroBias_v4,0.000039118,0.000037942
276525:5080,07/08/16 14:15:18,2786,HLT_ZeroBias_v4,0.000185076,0.000178882
276527:5080,07/09/16 08:34:41,214,HLT_ZeroBias_v4,0.000010281,0.000009960
276528:5080,07/09/16 10:01:49,391,HLT_ZeroBias_v4,0.000017500,0.000017047
276542:5083,07/09/16 16:32:22,784,HLT_ZeroBias_v4,0.000069295,0.000065917
276543:5083,07/09/16 21:39:40,948,HLT_ZeroBias_v4,0.000068244,0.000065786
276544:5083,07/10/16 03:53:47,160,HLT_ZeroBias_v4,0.000010178,0.000009776
276545:5083,07/10/16 04:59:24,206,HLT_ZeroBias_v4,0.000012254,0.000011835
276581:5085,07/10/16 12:24:16,366,HLT_ZeroBias_v4,0.000034255,0.000032888
276582:5085,07/10/16 14:52:52,871,HLT_ZeroBias_v4,0.000068964,0.000066612
276583:5085,07/10/16 20:34:28,52,HLT_ZeroBias_v4,0.000003668,0.000003481
276584:5085,07/10/16 20:59:17,2,HLT_ZeroBias_v4,0.000021050,0.000011505
276585:5085,07/10/16 21:31:21,242,HLT_ZeroBias_v4,0.000016170,0.000015496
276586:5085,07/10/16 23:10:31,751,HLT_ZeroBias_v4,0.000044532,0.000043070
276587:5085,07/11/16 04:23:51,1006,HLT_ZeroBias_v4,0.000049612,0.000047837
276653:5091,07/12/16 00:13:18,479,HLT_ZeroBias_v4,0.000039683,0.000038242
276655:5091,07/12/16 03:27:37,1105,HLT_ZeroBias_v4,0.000076050,0.000071440
276659:5091,07/12/16 10:40:23,251,HLT_ZeroBias_v4,0.000014543,0.000013308
276775:5093,07/12/16 21:26:20,1165,HLT_ZeroBias_v4,0.000097037,0.000092080
276776:5093,07/13/16 05:02:29,1823,HLT_ZeroBias_v4,0.000108717,0.000105025
276794:5093,07/13/16 17:05:19,885,HLT_ZeroBias_v4,0.000039776,0.000038763
276807:5095,07/14/16 03:24:10,155,HLT_ZeroBias_v4,0.000014332,0.000013518
276808:5095,07/14/16 04:28:59,875,HLT_ZeroBias_v4,0.000072902,0.000070098
276810:5095,07/14/16 10:15:44,287,HLT_ZeroBias_v4,0.000020739,0.000019865
276811:5095,07/14/16 12:15:34,2562,HLT_ZeroBias_v4,0.000138365,0.000134081
276831:5096,07/15/16 07:47:46,2634,HLT_ZeroBias_v4,0.000184868,0.000177825
276834:5096,07/16/16 01:42:10,720,HLT_ZeroBias_v4,0.000033602,0.000032271
276870:5097,07/16/16 11:02:01,3403,HLT_ZeroBias_v4,0.000389018,0.000374269
276935:5101,07/17/16 23:39:55,824,HLT_ZeroBias_v4,0.000152853,0.000144827
276940:5102,07/18/16 08:13:36,144,HLT_ZeroBias_v4,0.000027966,0.000023453
276946:5102,07/18/16 09:56:36,27,HLT_ZeroBias_v4,0.000005206,0.000003580
276947:5102,07/18/16 10:11:19,132,HLT_ZeroBias_v4,0.000026032,0.000021853
276948:5102,07/18/16 11:09:47,474,HLT_ZeroBias_v4,0.000084857,0.000076335
276950:5102,07/18/16 14:16:45,2353,HLT_ZeroBias_v4,0.000215892,0.000206340
277069:5105,07/19/16 17:52:15,309,HLT_ZeroBias_v4,0.000058326,0.000055731
277070:5105,07/19/16 19:54:11,1058,HLT_ZeroBias_v4,0.000191849,0.000182100
277071:5105,07/20/16 02:48:37,171,HLT_ZeroBias_v4,0.000026005,0.000023405
277072:5105,07/20/16 04:01:41,464,HLT_ZeroBias_v4,0.000053340,0.000051550
277073:5105,07/20/16 07:09:53,90,HLT_ZeroBias_v4,0.000006501,0.000006308
277076:5105,07/20/16 07:55:58,1033,HLT_ZeroBias_v4,0.000058212,0.000055976
277087:5105,07/20/16 17:49:22,988,HLT_ZeroBias_v4,0.000039751,0.000038386
277094:5106,07/21/16 04:03:56,582,HLT_ZeroBias_v4,0.000112211,0.000107678
277096:5106,07/21/16 07:56:14,2085,HLT_ZeroBias_v4,0.000296114,0.000284791
277112:5106,07/21/16 21:30:44,155,HLT_ZeroBias_v4,0.000014976,0.000014428
277126:5107,07/22/16 01:36:48,18,HLT_ZeroBias_v4,0.000003303,0.000001456
277127:5107,07/22/16 01:46:10,901,HLT_ZeroBias_v4,0.000169765,0.000163190
277148:5108,07/22/16 10:31:04,616,HLT_ZeroBias_v4,0.000118986,0.000113899
277166:5109,07/22/16 18:10:23,354,HLT_ZeroBias_v4,0.000065102,0.000061910
277168:5109,07/22/16 20:34:53,2220,HLT_ZeroBias_v4,0.000293737,0.000283265
277180:5110,07/23/16 13:37:57,141,HLT_ZeroBias_v4,0.000027805,0.000025794
277194:5111,07/23/16 18:25:08,1938,HLT_ZeroBias_v4,0.000335012,0.000318457
277305:5116,07/25/16 01:23:14,683,HLT_ZeroBias_v4,0.000134150,0.000127077
277420:5117,07/25/16 19:44:15,261,HLT_ZeroBias_v4,0.000051830,0.000048742
277981:5151,08/01/16 11:54:09,76,HLT_ZeroBias_v4,0.000007903,0.000007258
277991:5151,08/01/16 15:45:06,90,HLT_ZeroBias_v4,0.000008352,0.000007496
277992:5151,08/01/16 16:23:35,311,HLT_ZeroBias_v4,0.000028120,0.000026721
278017:5154,08/01/16 23:26:43,510,HLT_ZeroBias_v4,0.000058529,0.000055443
278018:5154,08/02/16 02:52:01,1156,HLT_ZeroBias_v4,0.000099885,0.000095123
278167:5161,08/03/16 18:39:02,2167,HLT_ZeroBias_v4,0.000145871,0.000139811
278175:5161,08/04/16 08:44:58,88,HLT_ZeroBias_v4,0.000004124,0.000004020
278193:5162,08/04/16 12:31:44,155,HLT_ZeroBias_v4,0.000016139,0.000015356
278239:5163,08/04/16 23:23:01,663,HLT_ZeroBias_v4,0.000062953,0.000059162
278240:5163,08/05/16 03:46:54,1300,HLT_ZeroBias_v4,0.000091143,0.000087500
278273:5169,08/05/16 17:37:20,36,HLT_ZeroBias_v4,0.000006374,0.000005197
278274:5169,08/05/16 17:55:42,84,HLT_ZeroBias_v4,0.000017170,0.000016002
278288:5170,08/05/16 21:11:12,15,HLT_ZeroBias_v4,0.000003319,0.000002552
278289:5170,08/05/16 21:18:02,51,HLT_ZeroBias_v4,0.000009957,0.000008395
278290:5170,08/05/16 21:42:34,11,HLT_ZeroBias_v4,0.000002322,0.000002151
278308:5173,08/06/16 13:00:39,1740,HLT_ZeroBias_v4,0.000413295,0.000395196
278310:5173,08/07/16 00:47:36,708,HLT_ZeroBias_v4,0.000040600,0.000039304
278315:5179,08/07/16 10:56:52,693,HLT_ZeroBias_v4,0.000066472,0.000061059
278345:5181,08/08/16 00:13:39,746,HLT_ZeroBias_v4,0.000072550,0.000066673
278346:5181,08/08/16 05:08:15,117,HLT_ZeroBias_v4,0.000009865,0.000009390
278349:5181,08/08/16 06:27:06,613,HLT_ZeroBias_v4,0.000044055,0.000042111
278366:5181,08/08/16 10:36:47,453,HLT_ZeroBias_v4,0.000027378,0.000026414
278406:5183,08/08/16 17:15:50,1597,HLT_ZeroBias_v4,0.000135962,0.000129057
278509:5187,08/09/16 18:29:15,1467,HLT_ZeroBias_v4,0.000125029,0.000115995
278769:5197,08/13/16 06:38:56,30,HLT_ZeroBias_v4,0.000003306,0.000003055
278770:5197,08/13/16 06:54:00,767,HLT_ZeroBias_v4,0.000072478,0.000069442
278801:5198,08/13/16 14:43:37,38,HLT_ZeroBias_v4,0.000004289,0.000003308
278802:5198,08/13/16 15:01:05,17,HLT_ZeroBias_v4,0.000001709,0.000000723
278803:5198,08/13/16 15:10:53,318,HLT_ZeroBias_v4,0.000032766,0.000030294
278804:5198,08/13/16 17:20:06,4,HLT_ZeroBias_v4,0.000057948,0.000047501
278805:5198,08/13/16 17:23:57,274,HLT_ZeroBias_v4,0.000025052,0.000023493
278808:5198,08/13/16 19:25:19,1791,HLT_ZeroBias_v4,0.000118879,0.000114451
278820:5199,08/14/16 11:00:51,1517,HLT_ZeroBias_v4,0.000124967,0.000120040
278822:5199,08/14/16 21:52:47,1627,HLT_ZeroBias_v4,0.000082719,0.000080140
278873:5205,08/15/16 23:25:45,60,HLT_ZeroBias_v4,0.000004714,0.000000843
278874:5205,08/15/16 23:51:53,477,HLT_ZeroBias_v4,0.000036437,0.000034268
278875:5205,08/16/16 03:01:20,833,HLT_ZeroBias_v4,0.000050398,0.000048158
278923:5206,08/16/16 12:16:32,413,HLT_ZeroBias_v4,0.000043086,0.000041258
278957:5209,08/16/16 21:31:36,149,HLT_ZeroBias_v4,0.000015795,0.000015141
278962:5210,08/17/16 01:08:31,341,HLT_ZeroBias_v4,0.000034220,0.000031810
278963:5210,08/17/16 03:24:57,174,HLT_ZeroBias_v4,0.000016135,0.000015511
278969:5211,08/17/16 07:16:52,1386,HLT_ZeroBias_v4,0.000123707,0.000118332
278975:5211,08/17/16 16:23:16,848,HLT_ZeroBias_v4,0.000052684,0.000050308
278976:5211,08/17/16 21:58:16,20,HLT_ZeroBias_v4,0.000001113,0.000001071
278986:5213,08/18/16 04:02:59,129,HLT_ZeroBias_v4,0.000014088,0.000013208
279024:5219,08/18/16 22:31:53,301,HLT_ZeroBias_v4,0.000021890,0.000020792
279029:5219,08/19/16 02:19:40,260,HLT_ZeroBias_v4,0.000016798,0.000015968
279071:5222,08/19/16 15:40:07,174,HLT_ZeroBias_v4,0.000009846,0.000009467
279080:5223,08/19/16 22:42:50,157,HLT_ZeroBias_v4,0.000005547,0.000005354
279115:5229,08/20/16 22:08:09,407,HLT_ZeroBias_v4,0.000036687,0.000035306
279116:5229,08/21/16 01:36:03,448,HLT_ZeroBias_v4,0.000039559,0.000037959
279479:5247,08/25/16 04:33:24,105,HLT_ZeroBias_v4,0.000009641,0.000009123
279588:5251,08/25/16 21:08:11,1160,HLT_ZeroBias_v4,0.000099228,0.000095730
279653:5253,08/26/16 14:05:52,181,HLT_ZeroBias_v4,0.000018852,0.000018167
279654:5253,08/26/16 15:21:58,1245,HLT_ZeroBias_v4,0.000104076,0.000100716
279656:5253,08/26/16 23:49:40,43,HLT_ZeroBias_v4,0.000002822,0.000002383
279658:5253,08/27/16 01:35:19,712,HLT_ZeroBias_v4,0.000040269,0.000039154
279667:5254,08/27/16 09:08:23,966,HLT_ZeroBias_v4,0.000090391,0.000087418
279681:5256,08/27/16 21:57:02,28,HLT_ZeroBias_v4,0.000003038,0.000002792
279682:5256,08/27/16 22:11:02,33,HLT_ZeroBias_v4,0.000003600,0.000003256
279683:5256,08/27/16 22:32:16,26,HLT_ZeroBias_v4,0.000002806,0.000002664
279684:5256,08/27/16 22:46:58,22,HLT_ZeroBias_v4,0.000002323,0.000002220
279685:5256,08/27/16 23:07:12,208,HLT_ZeroBias_v4,0.000020943,0.000020271
279691:5257,08/28/16 03:41:26,43,HLT_ZeroBias_v4,0.000004289,0.000004043
279694:5257,08/28/16 04:03:09,2235,HLT_ZeroBias_v4,0.000175314,0.000170290
279715:5258,08/28/16 22:01:34,577,HLT_ZeroBias_v4,0.000055748,0.000053500
279716:5258,08/29/16 02:17:06,1638,HLT_ZeroBias_v4,0.000110155,0.000107313
279760:5261,08/29/16 20:21:24,655,HLT_ZeroBias_v4,0.000066417,0.000064268
279766:5261,08/30/16 01:08:36,1689,HLT_ZeroBias_v4,0.000115817,0.000112487
279767:5261,08/30/16 12:08:03,776,HLT_ZeroBias_v4,0.000038506,0.000037653
279794:5264,08/30/16 23:41:02,1024,HLT_ZeroBias_v4,0.000096319,0.000093429
279823:5265,08/31/16 10:00:39,335,HLT_ZeroBias_v4,0.000035328,0.000034260
279841:5266,08/31/16 15:23:17,2040,HLT_ZeroBias_v4,0.000164515,0.000159355
279844:5267,09/01/16 07:21:16,224,HLT_ZeroBias_v4,0.000024791,0.000023692
279887:5270,09/01/16 23:20:52,316,HLT_ZeroBias_v4,0.000032005,0.000030696
279931:5274,09/02/16 11:37:39,2934,HLT_ZeroBias_v4,0.000205333,0.000199187
279966:5275,09/03/16 09:20:25,363,HLT_ZeroBias_v4,0.000040598,0.000038942
279975:5276,09/03/16 14:45:09,1024,HLT_ZeroBias_v4,0.000103863,0.000100088
279993:5277,09/04/16 00:23:27,72,HLT_ZeroBias_v4,0.000008065,0.000007568
279994:5277,09/04/16 00:56:48,47,HLT_ZeroBias_v4,0.000005493,0.000005183
280013:5277,09/04/16 03:35:47,25,HLT_ZeroBias_v4,0.000002457,0.000002360
280015:5277,09/04/16 03:55:19,572,HLT_ZeroBias_v4,0.000050148,0.000048260
280016:5277,09/04/16 07:42:16,149,HLT_ZeroBias_v4,0.000011551,0.000011141
280017:5277,09/04/16 08:45:47,608,HLT_ZeroBias_v4,0.000042299,0.000041080
280018:5277,09/04/16 12:47:05,1281,HLT_ZeroBias_v4,0.000068463,0.000066673
